position,title,authors,url,publisher,country,year,backlinks,timestamp
Oppose,"Children need attention and reassurance, Harvard researchers say",Alvin Powell,https://news.harvard.edu/gazette/story/1998/04/children-need-touching-and-attention-harvard-researchers-say/,Harvard Gazette,USA,1998,78,1998-01-01T00:00:00.000000Z
Oppose,Is excessive crying harmful?,Dr. Sears,https://www.askdrsears.com/topics/health-concerns/fussy-baby/science-excessive-crying-harmful/,Blog,USA,2004,82,2004-01-01T00:00:00.000000Z
Advocate,The Quest for Rest: Should Babies Co-Sleep or Cry It Out?,,https://abcnews.go.com/Health/story?id=4263379&page=1,ABC News,USA,2008,65,2008-01-01T00:00:00.000000Z
Oppose,"The dangers of ""crying-it-out""",Darcia F. Narvaez Ph.D.,https://www.psychologytoday.com/intl/blog/moral-landscapes/201112/dangers-crying-it-out,Psychology Today,USA,2011,683,2011-01-01T00:00:00.000000Z
Oppose,Cry It Out: The Method That Kills Baby Brain Cells,,https://www.huffpost.com/entry/cry-it-out_b_1163864,Huffpost,UK,2011,99,2011-01-01T00:00:00.000000Z
Oppose,Effects of Excessive Crying in Babies,Dr. Sears,https://www.askdrsears.com/topics/health-concerns/fussy-baby/science-excessive-crying-harmful,Blog,USA,2012,100,2012-01-01T00:00:00.000000Z
Advocate,Infant sleep training has no long term effects: study,,https://www.reuters.com/article/idUSBRE8890JS/,Reuters,Canada,2012,10,2012-01-01T00:00:00.000000Z
Advocate,Let crying babes lie: Study supports notion of leaving infants to cry themselves back to sleep,,https://news.temple.edu/news/2012-12-13/let-crying-babes-lie-study-supports-notion-leaving-infants-cry-themselves-back-sleep,News,USA,2012,17,2012-01-01T00:00:00.000000Z
Advocate,"Cry, Baby, Cry",MELINDA WENNER MOYER,https://slate.com/human-interest/2013/07/clinical-lactation-jumps-on-the-dr-sears-bandwagon-to-say-sleep-training-is-dangerous-science-says-otherwise.html,Slate,USA,2013,25,2013-01-01T00:00:00.000000Z
Neutral,Should babies be allowed to 'cry it out'?,,https://www.cnn.com/2013/01/24/health/child-sleep-debate-enayati/index.html,CNN,USA,2013,38,2013-01-01T00:00:00.000000Z
Oppose,Clinical Lactation jumps on the Dr. Sears bandwagon to say sleep training is dangerous. Science says otherwise.,,https://slate.com/human-interest/2013/07/clinical-lactation-jumps-on-the-dr-sears-bandwagon-to-say-sleep-training-is-dangerous-science-says-otherwise.html,Slate,USA,2013,87,2013-01-01T00:00:00.000000Z
Oppose,6 Ways 'Crying It Out' Is Dangerous for Babies,,https://cafemom.com/parenting/171634-6_ways_crying_it_out,Cafe Mom,Not Specified,2014,5,2014-01-01T00:00:00.000000Z
Advocate,Sleep Training: What It Is and When to Start,,https://www.thebump.com/a/how-to-sleep-train,The Bump,USA,2015,75,2015-01-01T00:00:00.000000Z
Advocate,The Cry-It-Out Secret No One Tells You — It's Not a One-Time Thing,,https://mom.com/baby/21793-cry-it-out-secret-no-one-tells-you,Mom,Not Specified,2015,63,2015-01-01T00:00:00.000000Z
Oppose,Let 8-week-olds cry it out all night? They must be kidding,,https://www.kidspot.com.au/baby/baby-care/let-8weekolds-cry-it-out-all-night-they-must-be-kidding/news-story/a57522a97d9ef7a163599b869fa69dc4,Kidspot,Not Specified,2015,38,2015-01-01T00:00:00.000000Z
Oppose,Why I'm Not Letting My Baby Cry It Out,,https://www.huffpost.com/entry/why-im-not-letting-my-baby-cry-it-out_b_6551380,Huffpost,UK,2015,71,2015-01-01T00:00:00.000000Z
Oppose,Letting Babies Cry – The Facts Behind the Studies,Anna Burbridge,https://laleche.org.uk/letting-babies-cry-facts-behind-studies/,Blog,Great Britain,2016,61,2016-01-01T00:00:00.000000Z
Advocate,"It’s OK to let your baby cry himself to sleep, study finds",Carina Stors,https://edition.cnn.com/2016/05/24/health/cry-it-out-sleep-training-ok/index.html,CNN,USA,2016,79,2016-01-01T00:00:00.000000Z
Oppose,"Controlled Crying, Cortisol, and Attachment: A Critical Look",Tracy Cassels,http://evolutionaryparenting.com/controlled-crying-cortisol-and-attachment-a-critical-look/,Blog,Australia,2016,46,2016-01-01T00:00:00.000000Z
